id,name,category,shortDescription,longDescription,address,latitude,longitude,openingHours,priceRange,averageRating,isPartner,imageUrls,highlights
f179bc95-a027-51ff-ad00-b0465d4da467,Farol do Cabo Branco,Cultura,Farol triangular que marca o extremo oriental das Américas.,"Farol construído em 1972 sobre falésias na praia de Cabo Branco, símbolo de João Pessoa 'onde o sol nasce primeiro', com vista panorâmica da orla e da Ponta do Seixas.","Avenida Cabo Branco, s/n – Cabo Branco, João Pessoa – PB",-7.148774,-34.796607,"Diariamente, 06:00 - 19:00",1,4.6,False,https://upload.wikimedia.org/wikipedia/commons/e/eb/Joao_Pessoa_Paraiba_Farol_do_Cabo_Branco2.jpg|https://upload.wikimedia.org/wikipedia/commons/c/c9/Farol_Cabo_Branco_Jampa.jpg,Extremo oriental das Américas|Vista panorâmica das falésias|Acesso gratuito
bf124eb8-f59e-5b8e-b731-726df87325fe,Praia de Tambaú,Praia,A praia urbana mais famosa e movimentada de João Pessoa.,"Praia urbana com mar calmo e esverdeado, repleta de quiosques, hotéis, restaurantes e ponto de partida para os barcos que visitam as piscinas naturais de Picãozinho.","Av. Almirante Tamandaré - Tambaú, João Pessoa - PB",-7.11527,-34.821297,24h (Espaço Público),2,4.7,False,https://upload.wikimedia.org/wikipedia/commons/2/27/Praia_de_Tambau_-_Joao_Pessoa_-_Paraiba.jpg|https://upload.wikimedia.org/wikipedia/commons/f/fb/Praia_de_Tambau.jpg,Embarques para Picãozinho|Calçadão e ciclovia ativos|Bares e quiosques à beira-mar
3a150918-39d6-5122-b1c9-e1433588b747,Centro Cultural São Francisco,Histórico,Um dos mais importantes complexos barrocos do Brasil.,"Complexo barroco fundado em 1589, composto pela Igreja de São Francisco, pelo Convento de Santo Antônio e por museus de arte sacra, ricamente decorado com painéis de azulejos portugueses e talhas douradas.","Praça São Francisco, s/n - Centro, João Pessoa - PB",-7.1128,-34.8858,"Terça a Domingo, 09:00 - 16:00",2,4.8,False,https://upload.wikimedia.org/wikipedia/commons/e/e4/JoaoPessoa_ConventoSaoFrancisco.JPG|https://upload.wikimedia.org/wikipedia/commons/6/67/Igreja_de_S%C3%A3o_Francisco%2C_Jo%C3%A3o_Pessoa%2C_PB.jpg,Arquitetura barroca do século XVIII|Painéis de azulejos portugueses|Rico acervo de arte sacra
989b484d-ed7d-5ca0-8de1-b7fbbd78ba1f,Parque Solon de Lucena,Natureza,"O cartão-postal central de João Pessoa, conhecido como Lagoa.","O Parque Sólon de Lucena, também conhecido como Parque da Lagoa, é um espaço público da cidade de João Pessoa, capital do estado brasileiro da Paraíba. Um dos principais símbolos da cidade, o parque situa-se no centro da capital paraibana e apresenta belos jardins e uma lagoa, ao centro, com um grande espelho d'água circular cercado por palmeiras-imperiais. 
Sua localização centralizada, assim com...","Parque Sólon de Lucena - Centro, João Pessoa - PB",-7.1214,-34.8789,24h (Espaço Público),1,4.4,False,https://upload.wikimedia.org/wikipedia/commons/c/cc/Lagoa_Jampa.jpg|https://upload.wikimedia.org/wikipedia/commons/3/36/Parque_Solon_de_Lucena_-_Lagoa_-_Joao_Pessoa_-_Paraiba_-_Brasil.jpg,Paisagismo de Burle Marx|Lagoa central com palmeiras imperiais|Espaço para caminhadas e lazer familiar
c9ccb7c1-3196-5360-87fa-78bcab146150,Mercado de Artesanato Paraibano,Compras,Espaço ideal para adquirir o legítimo artesanato da Paraíba.,"Mercado coberto com mais de 120 boxes que comercializam roupas de algodão colorido, rendas de bilro, objetos em couro, cerâmica, cachaças regionais e doces paraibanos.","Av. Senador Rui Carneiro, 241 - Tambauzinho, João Pessoa - PB",-7.1172,-34.8286,"Segunda a Sábado, 09:00 - 19:00; Domingo, 09:00 - 18:00",2,4.5,False,https://upload.wikimedia.org/wikipedia/commons/4/47/Mercado_de_Artesanato_Paraibano.jpg|https://upload.wikimedia.org/wikipedia/commons/3/30/Crafts_in_Jo%C3%A3o_Pessoa.jpg,Algodão colorido orgânico da Paraíba|Grande variedade de doces regionais|Fácil acesso e amplo estacionamento
f9e53706-d68f-530d-ba98-c442980a2f9a,Praia do Jacaré,Lazer,Famoso pôr do sol fluvial ao som do Bolero de Ravel.,"A praia do Jacaré é uma área turística brasileira que faz parte do corredor turístico de Cabedelo, município do estado da Paraíba, O acesso ao balneário é feito pelo km 8 da BR-230.
No livro Evolução histórica da Paraíba do Norte, há uma citação histórica do porquê do nome jacaré:

Próximo à foz [do rio Paraíba], onde o jacaré era fartamente encontrado, dormiam quietamente entrelaçadas, secularmen...","Av. Pôr do Sol, s/n - Jacaré, Cabedelo - PB",-7.0394,-34.8431,"Diariamente, 16:00 - 18:30 (Espetáculo do pôr do sol)",2,4.8,False,https://upload.wikimedia.org/wikipedia/commons/e/e7/P%C3%B4r_do_Sol_no_Jacar%C3%A9.jpg|https://upload.wikimedia.org/wikipedia/commons/4/4e/P%C3%B4r_do_sol_na_Praia_do_Jacar%C3%A9_-_Cabedelo_-_Para%C3%ADba_-_Brasil.jpg|https://upload.wikimedia.org/wikipedia/commons/4/4a/P%C3%B4r_do_sol_no_Rio_Para%C3%ADba.jpg,Apresentação de Jurandy do Sax|Feira de artesanato local na orla|Passeios de catamarã no rio
ba3ba978-dbc6-5495-a048-073f152d7d8e,Piscinas Naturais do Seixas,Natureza,Piscinas naturais de águas mornas localizadas na Ponta do Seixas.,"Formações de recifes que surgem na maré baixa em frente à Ponta do Seixas, formando piscinas de águas extremamente cristalinas ideais para a prática de snorkel.","Orla da Ponta do Seixas, João Pessoa - PB",-7.1555,-34.7889,Varia de acordo com a maré baixa (Consulte a tábua de marés),3,4.7,False,https://upload.wikimedia.org/wikipedia/commons/2/21/Piscinas_Naturais_do_Seixas.jpg|https://upload.wikimedia.org/wikipedia/commons/f/f2/Picaozinho.jpg,Ponto mais oriental das Américas|Águas cristalinas ideais para snorkel|Passeios ecológicos de catamarã
b0fa6402-eb8f-5376-b29c-4b0ddf8d9608,Estação Cabo Branco,Cultura,"Complexo de ciência, cultura e arte assinado por Oscar Niemeyer.","A Estação Cabo Branco – Ciência, Cultura e Artes, popularmente conhecida como Estação Ciência,[carece de fontes?] localizada no bairro Cabo Branco, limite com o bairro Portal do Sol, em João Pessoa, capital do estado brasileiro da Paraíba, foi projetada pelo arquiteto Oscar Niemeyer e inaugurada no dia 3 de julho de 2008 pelo ex-prefeito Ricardo Vieira Coutinho.
A Estação tem a missão de levar cul...","Av. João Cirilo da Silva, s/n - Altiplano Cabo Branco, João Pessoa - PB",-7.14765,-34.79901,"Terça a Sexta, 09:00 - 18:00; Sábados e Domingos, 10:00 - 18:00",1,4.5,False,https://upload.wikimedia.org/wikipedia/commons/4/4b/Esta%C3%A7%C3%A3o_Cabo_Branco.jpg|https://upload.wikimedia.org/wikipedia/commons/1/1d/Estacao_Cabo_Branco_2.jpg|https://upload.wikimedia.org/wikipedia/commons/f/ff/Esta%C3%A7%C3%A3o_Cabo_Branco_2011.JPG,Projeto arquitetônico de Oscar Niemeyer|Exposições científicas e artísticas|Entrada franca
b3d062d7-bf0b-5cea-87a7-bf0f196c26a7,Praia de Coqueirinho,Natureza,Uma das praias mais bonitas do Litoral Sul paraibano.,Praia de águas calmas e mornas circundada por grandes falésias coloridas e densa vegetação de coqueiros. Ideal para banho de mar e caminhadas.,"Costa do Conde, Conde - PB",-7.3206,-34.8136,24h (Espaço Público),2,4.8,False,https://upload.wikimedia.org/wikipedia/commons/0/02/Praia_de_Coqueirinho_-_Paraiba.jpg|https://upload.wikimedia.org/wikipedia/commons/e/ee/Praia_de_Coqueirinho%2C_Para%C3%ADba.jpg,Falésias coloridas deslumbrantes|Canyons naturais nas proximidades|Bons restaurantes de frutos do mar
21a27ec3-a376-5d9a-a5a7-85f4503710fb,Praia de Tambaba,Natureza,A primeira praia oficial de naturismo do Nordeste do Brasil.,"Praia famosa internacionalmente pela prática de naturismo. Divide-se em uma pequena praia com piscinas naturais onde o nudismo não é obrigatório, e na área reservada e restrita.","Costa do Conde, Conde - PB",-7.3614,-34.7961,"Diariamente, 08:00 - 17:00 (Área naturista)",2,4.6,False,https://upload.wikimedia.org/wikipedia/commons/e/eb/Tambaba_W-9167_03.jpg|https://upload.wikimedia.org/wikipedia/commons/b/b8/Praia_de_Tambaba_Conde_PB.jpg,Naturismo oficial e controlado|Paisagem exótica com falésias e rochas|Piscinas naturais mornas
