"Issue Key","Issue Type","Summary","Epic Name","Parent"
"NEW-EPIC-1","Epic","Autenticação e Acesso","Autenticação e Acesso",""
"NEW-EPIC-2","Epic","Infraestrutura e PWA","Infraestrutura e PWA",""
"NEW-EPIC-3","Epic","Gestão de Perfil","Gestão de Perfil",""
"NEW-EPIC-4","Epic","Catálogo de Atrações","Catálogo de Atrações",""
"NEW-EPIC-5","Epic","Mapas e Rotas","Mapas e Rotas",""
"NEW-EPIC-6","Epic","Gamificação","Gamificação",""
"NEW-EPIC-7","Epic","Recompensas e Parceiros","Recompensas e Parceiros",""
"NEW-EPIC-8","Epic","Qualidade e Entrega","Qualidade e Entrega",""
"NEW-STORY-1","Story","Como usuário, quero fazer login para acessar minha conta","","NEW-EPIC-1"
"NEW-STORY-2","Story","Como sistema, preciso de endpoints seguros de autenticação JWT","","NEW-EPIC-1"
"NEW-STORY-3","Story","Como usuário, quero me cadastrar para criar uma conta","","NEW-EPIC-1"
"NEW-STORY-4","Story","Como desenvolvedor, preciso da estrutura do banco de dados configurada","","NEW-EPIC-2"
"NEW-STORY-5","Story","Como desenvolvedor, preciso do setup inicial dos frameworks e repositórios","","NEW-EPIC-2"
"NEW-STORY-6","Story","Como usuário, quero poder instalar o site como um aplicativo PWA","","NEW-EPIC-2"
"NEW-STORY-7","Story","Como usuário, quero visualizar e editar os dados do meu perfil","","NEW-EPIC-3"
"NEW-STORY-8","Story","Como novo usuário, quero configurar preferências turísticas","","NEW-EPIC-3"
"NEW-STORY-9","Story","Como usuário, quero fazer upload de uma foto de avatar","","NEW-EPIC-3"
"NEW-STORY-10","Story","Como usuário, quero visualizar um feed com uma lista de atrações","","NEW-EPIC-4"
"NEW-STORY-11","Story","Como usuário, quero filtrar as atrações por categoria, preço e avaliação","","NEW-EPIC-4"
"NEW-STORY-12","Story","Como usuário, quero ver recomendações baseadas no meu perfil","","NEW-EPIC-4"
"NEW-STORY-13","Story","Como usuário, quero ver os detalhes completos de uma atração","","NEW-EPIC-4"
"NEW-STORY-14","Story","Como usuário, quero ver as atrações em um mapa interativo","","NEW-EPIC-5"
"NEW-STORY-15","Story","Como usuário, quero calcular a rota e tempo de transporte","","NEW-EPIC-5"
"NEW-STORY-16","Story","Como usuário, quero que o aplicativo capture minha geolocalização atual","","NEW-EPIC-5"
"NEW-STORY-17","Story","Como usuário, quero ganhar XP e subir de nível ao explorar atrações","","NEW-EPIC-6"
"NEW-STORY-18","Story","Como usuário, quero fazer check-in nas atrações para provar que visitei","","NEW-EPIC-6"
"NEW-STORY-19","Story","Como usuário, quero completar desafios para ganhar medalhas","","NEW-EPIC-6"
"NEW-STORY-20","Story","Como usuário, quero visualizar um catálogo de recompensas disponíveis na loja","","NEW-EPIC-7"
"NEW-STORY-21","Story","Como usuário, quero resgatar meus pontos por recompensas","","NEW-EPIC-7"
"NEW-STORY-22","Story","Como parceiro, quero validar o voucher via QR Code","","NEW-EPIC-7"
"NEW-STORY-23","Story","Como equipe, precisamos preparar o material e estabilizar o MVP para entrega","","NEW-EPIC-8"
"NEW-STORY-24","Story","Como equipe, precisamos garantir que os fluxos críticos funcionam via testes","","NEW-EPIC-8"
"NEW-STORY-25","Story","Como equipe, precisamos publicar em ambiente de produção","","NEW-EPIC-8"
"SDGEU-4","Sub-task","[S1-P1-T1] Modelagem inicial do banco de dados","","NEW-STORY-4"
"SDGEU-5","Sub-task","[S1-P1-T2] Criar migrations e estrutura inicial do banco","","NEW-STORY-4"
"SDGEU-4","Sub-task","[S1-P1-T1] S1-P2-T1]","","NEW-STORY-5"
"SDGEU-7","Sub-task","[S1-P1-T3] Criar tela de login em React","","NEW-STORY-1"
"SDGEU-8","Sub-task","[S1-P2-T3] ","","NEW-STORY-5"
"SDGEU-9","Sub-task","[S1-P2-T1] Inicializar projeto backend com Spring Boot","","NEW-STORY-5"
"SDGEU-10","Sub-task","[S1-P2-T2] Configurar base de tratamento de erros e CORS","","NEW-STORY-5"
"SDGEU-9","Sub-task","[S1-P2-T1] ","","NEW-STORY-5"
"SDGEU-8","Sub-task","[S1-P2-T3] Inicializar frontend com React puro e Vite","","NEW-STORY-5"
"SDGEU-13","Sub-task","[S1-P2-T4] Configurar PWA base no React","","NEW-STORY-6"
"SDGEU-8","Sub-task","[S1-P2-T3] ","","NEW-STORY-5"
"SDGEU-15","Sub-task","[S1-P3-T1] Implementar segurança com Spring Security e JWT","","NEW-STORY-2"
"SDGEU-9","Sub-task","[S1-P2-T1] S1-P2-T2]","","NEW-STORY-5"
"SDGEU-17","Sub-task","[S1-P3-T2] Criar endpoints de autenticação","","NEW-STORY-2"
"SDGEU-15","Sub-task","[S1-P3-T1] S1-P1-T2]","","NEW-STORY-5"
"SDGEU-19","Sub-task","[S1-P3-T3] Criar tela de cadastro em React","","NEW-STORY-3"
"SDGEU-8","Sub-task","[S1-P2-T3] ","","NEW-STORY-5"
"SDGEU-21","Sub-task","[S1-P3-T4] Integrar autenticação no frontend","","NEW-STORY-2"
"SDGEU-7","Sub-task","[S1-P1-T3] S1-P3-T3], [S1-P3-T2]","","NEW-STORY-5"
"SDGEU-23","Sub-task","[S2-P1-T1] Modelar preferências do usuário no backend","","NEW-STORY-7"
"SDGEU-5","Sub-task","[S1-P1-T2] ","","NEW-STORY-5"
"SDGEU-25","Sub-task","[S2-P1-T2] Criar API de preferências com Spring Boot","","NEW-STORY-7"
"SDGEU-23","Sub-task","[S2-P1-T1] S1-P3-T1]","","NEW-STORY-7"
"SDGEU-27","Sub-task","[S2-P1-T3] Criar fluxo visual do onboarding em React","","NEW-STORY-8"
"SDGEU-21","Sub-task","[S1-P3-T4] ","","NEW-STORY-5"
"SDGEU-29","Sub-task","[S2-P2-T1] Implementar regra de primeiro acesso","","NEW-STORY-8"
"SDGEU-25","Sub-task","[S2-P1-T2] ","","NEW-STORY-7"
"SDGEU-31","Sub-task","[S2-P2-T2] Criar integração do onboarding no React","","NEW-STORY-8"
"SDGEU-27","Sub-task","[S2-P1-T3] S2-P1-T2], [S2-P2-T1]","","NEW-STORY-7"
"SDGEU-33","Sub-task","[S2-P2-T3] Criar endpoints de perfil do usuário","","NEW-STORY-7"
"SDGEU-5","Sub-task","[S1-P1-T2] S1-P3-T1]","","NEW-STORY-5"
"SDGEU-35","Sub-task","[S2-P2-T4] Implementar upload de avatar","","NEW-STORY-9"
"SDGEU-33","Sub-task","[S2-P2-T3] ","","NEW-STORY-7"
"SDGEU-37","Sub-task","[S2-P3-T1] Criar layout base pós-login no React","","NEW-STORY-7"
"SDGEU-21","Sub-task","[S1-P3-T4] ","","NEW-STORY-5"
"SDGEU-39","Sub-task","[S2-P3-T2] Criar tela de perfil em React","","NEW-STORY-7"
"SDGEU-37","Sub-task","[S2-P3-T1] S2-P2-T3]","","NEW-STORY-7"
"SDGEU-41","Sub-task","[S2-P3-T3] Criar tela de edição de perfil em React","","NEW-STORY-7"
"SDGEU-39","Sub-task","[S2-P3-T2] S2-P2-T4]","","NEW-STORY-7"
"SDGEU-43","Sub-task","[S3-P1-T1] Modelar atrações no backend","","NEW-STORY-10"
"SDGEU-5","Sub-task","[S1-P1-T2] ","","NEW-STORY-5"
"SDGEU-45","Sub-task","[S3-P1-T2] Popular banco com atrações iniciais","","NEW-STORY-10"
"SDGEU-43","Sub-task","[S3-P1-T1] ","","NEW-STORY-10"
"SDGEU-47","Sub-task","[S3-P1-T3] Criar card de atração no React","","NEW-STORY-10"
"SDGEU-37","Sub-task","[S2-P3-T1] ","","NEW-STORY-7"
"SDGEU-49","Sub-task","[S3-P2-T1] Criar API de listagem de atrações","","NEW-STORY-10"
"SDGEU-43","Sub-task","[S3-P1-T1] ","","NEW-STORY-10"
"SDGEU-51","Sub-task","[S3-P2-T2] Criar filtros de busca no backend","","NEW-STORY-11"
"SDGEU-49","Sub-task","[S3-P2-T1] ","","NEW-STORY-10"
"SDGEU-53","Sub-task","[S3-P2-T3] Criar home e listagem no React","","NEW-STORY-10"
"SDGEU-47","Sub-task","[S3-P1-T3] S3-P2-T1]","","NEW-STORY-10"
"SDGEU-55","Sub-task","[S3-P2-T4] Criar filtros visuais no React","","NEW-STORY-11"
"SDGEU-51","Sub-task","[S3-P2-T2] S3-P2-T3]","","NEW-STORY-10"
"SDGEU-57","Sub-task","[S3-P3-T1] Criar recomendação simplificada no backend","","NEW-STORY-12"
"SDGEU-25","Sub-task","[S2-P1-T2] S3-P1-T1]","","NEW-STORY-7"
"SDGEU-59","Sub-task","[S3-P3-T2] Criar endpoint de detalhes da atração","","NEW-STORY-13"
"SDGEU-43","Sub-task","[S3-P1-T1] ","","NEW-STORY-10"
"SDGEU-61","Sub-task","[S3-P3-T3] Criar página de detalhes em React","","NEW-STORY-13"
"SDGEU-47","Sub-task","[S3-P1-T3] S3-P3-T2]","","NEW-STORY-10"
"SDGEU-63","Sub-task","[S4-P1-T1] Criar integração de mapas no backend","","NEW-STORY-14"
"SDGEU-43","Sub-task","[S3-P1-T1] S1-P2-T1]","","NEW-STORY-10"
"SDGEU-65","Sub-task","[S4-P1-T2] Criar endpoint de cálculo de rota","","NEW-STORY-15"
"SDGEU-63","Sub-task","[S4-P1-T1] ","","NEW-STORY-16"
"SDGEU-67","Sub-task","[S4-P1-T3] Integrar mapa no React","","NEW-STORY-14"
"SDGEU-61","Sub-task","[S3-P3-T3] ","","NEW-STORY-10"
"SDGEU-69","Sub-task","[S4-P2-T1] Criar geolocalização no frontend","","NEW-STORY-16"
"SDGEU-67","Sub-task","[S4-P1-T3] ","","NEW-STORY-16"
"SDGEU-71","Sub-task","[S4-P2-T2] Exibir marcadores de atrações no mapa","","NEW-STORY-14"
"SDGEU-67","Sub-task","[S4-P1-T3] S3-P2-T1]","","NEW-STORY-16"
"SDGEU-73","Sub-task","[S4-P2-T3] Integrar cálculo de rota no React","","NEW-STORY-15"
"SDGEU-69","Sub-task","[S4-P2-T1] S4-P1-T2]","","NEW-STORY-16"
"SDGEU-75","Sub-task","[S4-P3-T1] Criar opções de transporte no frontend","","NEW-STORY-15"
"SDGEU-73","Sub-task","[S4-P2-T3] ","","NEW-STORY-16"
"SDGEU-77","Sub-task","[S4-P3-T2] Criar histórico de rotas no backend","","NEW-STORY-15"
"SDGEU-65","Sub-task","[S4-P1-T2] S1-P3-T1]","","NEW-STORY-16"
"SDGEU-79","Sub-task","[S4-P3-T3] Integrar início de rota com histórico","","NEW-STORY-15"
"SDGEU-75","Sub-task","[S4-P3-T1] S4-P3-T2]","","NEW-STORY-16"
"SDGEU-81","Sub-task","[S5-P1-T1] Modelar gamificação no backend","","NEW-STORY-17"
"SDGEU-5","Sub-task","[S1-P1-T2] ","","NEW-STORY-5"
